,Cues,Targets,Target Normed?,Sample Size,# Subjects Producing Target ,Forward Strength,Backward Strength,Mediated Strength,# Mediated Associates,# Potential Non-Normed Mediators,Shared Associate Strength,# Shared Associates,Cue Set Size,# Cue Competitors,Cue Competitor Strength,Cue Frequency (K&F),Cue Concreteness(Scale 1-7),Cue Homograph? (Letter=Yes),Cue Part of Speech,Mean Cue Connectivity,Cue Connectivity Strength,Cue Resonance Probability,Cue Resonance Strength,Target Set Size,# Target Competitors,Target Competitor Strength,Target Frequency (K&F),Target Concreteness(Scale 1-7),Target Homograph? (Letter=Yes),Target Part of Speech,Mean Target Connectivity,Target Connectivity Strength,Target Resonance Probability,Target Resonance Strength,# of Other Associate Links to Target,Strength of Other Associate Links to Target
11586,CLERK,DESK,YES,123.0,6.0,0.048,0.021,0.012,5.0,2.0,0.0006,1.0,21.0,13.0,0.504,34.0,6.05,,N,1.63,3.58,0.37,1.18,18,16,0.836,65,5.79,,N,3.17,6.48,0.33,1.3,5,0.282
11587,CLERK,FILE,YES,123.0,5.0,0.04,0,0.0,0.0,2.0,0.0063,3.0,21.0,15.0,0.417,34.0,6.05,,N,1.63,3.58,0.37,1.18,16,13,0.679,81,4.63,N,N,1.19,2.09,0.31,1.12,missing,missing
11588,CLERK,HELP,YES,123.0,2.0,0.016,0,0.0,1.0,2.0,0.0004,1.0,21.0,16.0,0.687,34.0,6.05,,N,1.63,3.58,0.37,1.18,23,21,0.728,311,2.82,,V,1.14,1.68,0.5,2.64,missing,missing
11589,CLERK,JERK,YES,123.0,2.0,0.016,0,0.0,0.0,2.0,0.0,0.0,21.0,18.0,0.735,34.0,6.05,,N,1.63,3.58,0.37,1.18,22,20,0.634,2,4.53,N,V,1.15,2.82,0.25,1.22,missing,missing
11590,CLERK,OFFICE,YES,123.0,5.0,0.04,0.014,0.01,4.0,2.0,0.0132,2.0,21.0,14.0,0.504,34.0,6.05,,N,1.63,3.58,0.37,1.18,18,15,0.508,255,5.65,,N,2,2.68,0.44,1.25,4,0.187
11591,CLERK,PERSON,YES,123.0,4.0,0.032,0,0.002,4.0,2.0,0.0,0.0,21.0,14.0,0.623,34.0,6.05,,N,1.63,3.58,0.37,1.18,14,13,0.834,175,6.51,,N,1.85,3.23,0.31,1.73,missing,missing
11592,CLERK,RECEPTIONIST,YES,123.0,2.0,0.016,0.013,0.001,1.0,2.0,0.0477,3.0,21.0,14.0,0.504,34.0,6.05,,N,1.63,3.58,0.37,1.18,13,9,0.237,5,missing,,N,1.69,1.83,0.08,1.02,1,0.019
11593,CLERK,REGISTER,YES,123.0,5.0,0.04,0,0.001,1.0,2.0,0.0005,1.0,21.0,17.0,0.671,34.0,6.05,,N,1.63,3.58,0.37,1.18,17,11,0.596,26,missing,T,N,missing,missing,missing,missing,missing,missing
11594,CLERK,SALE,YES,123.0,5.0,0.041,0,0.001,1.0,2.0,0.0087,1.0,21.0,16.0,0.535,34.0,6.05,,N,1.63,3.58,0.37,1.18,17,15,0.733,44,3.6,,N,3.25,5.55,0.44,1.46,missing,missing
11595,CLERK,SALESMAN,YES,123.0,2.0,0.016,0,0.0,0.0,2.0,0.0101,3.0,21.0,15.0,0.503,34.0,6.05,,N,1.63,3.58,0.37,1.18,28,22,0.617,12,missing,,N,1.52,3.96,0.08,1.08,missing,missing
11596,CLERK,SALESPERSON,NO,123.0,4.0,0.032,missing,0.0,0.0,0.0,0.0,0.0,21.0,19.0,0.751,34.0,6.05,,N,1.63,3.58,0.37,1.18,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing
11597,CLERK,SECRETARY,YES,123.0,11.0,0.087,0.027,0.032,4.0,2.0,0.0072,4.0,21.0,12.0,0.44,34.0,6.05,,N,1.63,3.58,0.37,1.18,21,16,0.627,191,5.58,,N,2.67,5.57,0.33,1.64,4,0.95
11598,CLERK,STORE,YES,123.0,20.0,0.159,0,0.01,5.0,2.0,0.0,0.0,21.0,13.0,0.439,34.0,6.05,,N,1.63,3.58,0.37,1.18,17,16,0.824,74,5.44,N,N,1.75,3.57,0.56,2.39,missing,missing
11599,CLERK,TELLER,YES,123.0,3.0,0.024,0,0.0,1.0,2.0,0.013,1.0,21.0,17.0,0.711,34.0,6.05,,N,1.63,3.58,0.37,1.18,4,3,0.104,4,5.55,,N,1,2.33,0.5,1.16,missing,missing
11600,CLERK,TYPIST,YES,123.0,7.0,0.056,0.013,0.003,1.0,2.0,0.035,3.0,21.0,15.0,0.552,34.0,6.05,,N,1.63,3.58,0.37,1.18,15,11,0.382,0,missing,,N,2.07,2.93,0.2,1.1,1,0.034
11601,CLERK,WORKER,YES,123.0,3.0,0.024,0,0.001,1.0,2.0,0.0009,1.0,21.0,16.0,0.608,34.0,6.05,,N,1.63,3.58,0.37,1.18,23,19,0.643,30,5.4,,N,1.6,3.36,0.35,1.59,missing,missing
13542,CONSIDER,ALLOW,YES,152.0,2.0,0.013,0,0.0,0.0,4.0,0.0,0.0,11.0,6.0,0.624,127.0,missing,,N,missing,missing,missing,missing,16,15,0.816,72,2.64,,V,1.73,1.72,0.33,2.01,missing,missing
13543,CONSIDER,CARE,YES,152.0,5.0,0.033,0,0.0,0.0,4.0,0.0,0.0,11.0,6.0,0.604,127.0,missing,,N,missing,missing,missing,missing,18,17,0.702,162,3.33,,N,1.29,3.5,0.29,1.3,missing,missing
13544,CONSIDER,CONTEMPLATE,NO,152.0,6.0,0.039,missing,0.0,0.0,0.0,0.0,0.0,11.0,7.0,0.637,127.0,missing,,N,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing
13545,CONSIDER,DECIDE,YES,152.0,2.0,0.013,0,0.0,0.0,4.0,0.044,1.0,11.0,5.0,0.124,127.0,missing,,N,missing,missing,missing,missing,14,13,0.59,40,2.64,,V,1.57,1.94,0.36,1.32,missing,missing
13546,CONSIDER,FACTS,YES,152.0,2.0,0.013,0,0.0,0.0,4.0,0.0,0.0,11.0,6.0,0.624,127.0,missing,,N,missing,missing,missing,missing,14,10,0.58,87,3.31,,N,missing,missing,missing,missing,missing,missing
13547,CONSIDER,INVOLVE,NO,152.0,3.0,0.02,missing,0.0,0.0,0.0,0.0,0.0,11.0,7.0,0.637,127.0,missing,,N,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing
13548,CONSIDER,MAYBE,YES,152.0,4.0,0.026,0,0.0,0.0,4.0,0.0,0.0,11.0,6.0,0.611,127.0,missing,,N,missing,missing,missing,missing,23,11,0.629,134,missing,,AD,missing,missing,missing,missing,missing,missing
13549,CONSIDER,PONDER,YES,152.0,6.0,0.039,0,0.02,1.0,4.0,0.231,1.0,11.0,5.0,0.098,127.0,missing,,N,missing,missing,missing,missing,5,4,0.359,1,2.78,,V,1.8,1.49,0.4,1.07,missing,missing
13550,CONSIDER,RECONSIDER,NO,152.0,5.0,0.033,missing,0.0,0.0,0.0,0.0,0.0,11.0,7.0,0.637,127.0,missing,,N,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing
13551,CONSIDER,THINK,YES,152.0,76.0,0.5,0,0.019,2.0,4.0,0.002,2.0,11.0,4.0,0.085,127.0,missing,,N,missing,missing,missing,missing,22,19,0.654,433,3.38,,V,2.85,5.01,0.65,2.84,missing,missing
13552,CONSIDER,THIS,NO,152.0,5.0,0.033,missing,0.0,0.0,0.0,0.0,0.0,11.0,7.0,0.637,127.0,missing,,N,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing
14171,CORPORAL,ADMIRAL,NO,152.0,4.0,0.026,missing,0.0,0.0,0.0,0.0,0.0,16.0,14.0,0.829,4.0,missing,,N,2.57,3.23,0.07,1.02,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing
14172,CORPORAL,ARMED FORCES,NO,152.0,2.0,0.013,missing,0.0,0.0,0.0,0.0,0.0,16.0,14.0,0.829,4.0,missing,,N,2.57,3.23,0.07,1.02,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing
14173,CORPORAL,ARMY,YES,152.0,41.0,0.27,0,0.05,8.0,2.0,0.0012,2.0,16.0,4.0,0.309,4.0,missing,,N,2.57,3.23,0.07,1.02,12,10,0.785,132,6.53,,N,1.67,1.83,0.42,2.29,missing,missing
14174,CORPORAL,BODY,YES,152.0,2.0,0.013,0,0.0,0.0,2.0,0.0,0.0,16.0,13.0,0.816,4.0,missing,,N,2.57,3.23,0.07,1.02,31,31,0.742,276,6.58,,N,2.03,6.85,0.45,1.62,missing,missing
14175,CORPORAL,BUSINESS,YES,152.0,5.0,0.033,0,0.0,0.0,2.0,0.0004,1.0,16.0,12.0,0.783,4.0,missing,,N,2.57,3.23,0.07,1.02,21,19,0.667,392,4.05,,N,1.5,3.48,0.2,1.48,missing,missing
14176,CORPORAL,CAPTAIN,YES,152.0,2.0,0.013,0,0.002,2.0,2.0,0.0052,3.0,16.0,8.0,0.394,4.0,missing,,N,2.57,3.23,0.07,1.02,13,10,0.718,85,5.23,,N,2.15,3.95,0.08,1.03,missing,missing
14177,CORPORAL,GENERAL,YES,152.0,6.0,0.039,0,0.006,4.0,2.0,0.0256,3.0,16.0,8.0,0.375,4.0,missing,,N,2.57,3.23,0.07,1.02,21,16,0.497,497,4.04,P,AJ,0.72,2.01,0.39,1.29,missing,missing
14178,CORPORAL,LIEUTENANT,YES,152.0,8.0,0.053,0.021,0.002,1.0,2.0,0.0968,8.0,16.0,6.0,0.335,4.0,missing,,N,2.57,3.23,0.07,1.02,14,5,0.131,29,5.67,,N,3.54,4.7,0.23,1.13,1,0.054
14179,CORPORAL,MAJOR,YES,152.0,2.0,0.013,0,0.003,2.0,2.0,0.0177,3.0,16.0,9.0,0.428,4.0,missing,,N,2.57,3.23,0.07,1.02,10,7,0.663,247,3.27,P,AJ,0.9,1.75,0.6,1.69,missing,missing
14180,CORPORAL,MARINES,YES,152.0,2.0,0.013,0,0.0,0.0,2.0,0.0787,4.0,16.0,10.0,0.493,4.0,missing,,N,2.57,3.23,0.07,1.02,18,13,0.388,11,missing,,N,2.5,4.21,0.13,1.14,missing,missing
14181,CORPORAL,MILITARY,YES,152.0,5.0,0.033,0,0.019,6.0,2.0,0.0732,3.0,16.0,6.0,0.342,4.0,missing,,N,2.57,3.23,0.07,1.02,19,15,0.428,212,missing,,AJ,1.78,3.73,0.39,1.21,missing,missing
14182,CORPORAL,OFFICER,YES,152.0,3.0,0.02,0,0.008,2.0,2.0,0.004,2.0,16.0,9.0,0.427,4.0,missing,,N,2.57,3.23,0.07,1.02,13,11,0.786,101,6.32,,N,1.92,3.47,0.15,1.08,missing,missing
14183,CORPORAL,PRIVATE,YES,152.0,2.0,0.013,0,0.0,0.0,2.0,0.0,0.0,16.0,13.0,0.816,4.0,missing,,N,2.57,3.23,0.07,1.02,18,16,0.748,191,3.46,P,AJ,1.06,2.3,0.44,1.82,missing,missing
14184,CORPORAL,PUNISHMENT,YES,152.0,38.0,0.25,0,0.0,0.0,2.0,0.0,0.0,16.0,13.0,0.579,4.0,missing,,N,2.57,3.23,0.07,1.02,22,19,0.679,21,3.53,,N,1.95,3.33,0.37,1.23,missing,missing
14185,CORPORAL,SERGEANT,YES,152.0,7.0,0.046,0,0.005,4.0,2.0,0.1043,6.0,16.0,6.0,0.342,4.0,missing,,N,2.57,3.23,0.07,1.02,16,9,0.212,25,5.07,,N,2.6,5.29,0.33,1.21,missing,missing
14186,CORPORAL,SERVICE,YES,152.0,3.0,0.02,0,0.005,4.0,2.0,0.0007,1.0,16.0,9.0,0.44,4.0,missing,,N,2.57,3.23,0.07,1.02,13,12,0.731,315,2.85,,N,0.77,1.96,0.39,1.15,missing,missing
15013,CREW,2 LIVE CREW,NO,152.0,3.0,0.02,missing,0.0,0.0,0.0,0.0,0.0,21.0,16.0,0.637,36.0,missing,,N,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing
15014,CREW,BOAT,YES,152.0,15.0,0.099,0,0.115,3.0,5.0,0.0248,1.0,21.0,12.0,0.308,36.0,missing,,N,missing,missing,missing,missing,16,15,0.75,72,6.33,,N,1.62,2.74,0.63,4.6,missing,missing
15015,CREW,CAPTAIN,YES,152.0,2.0,0.013,0,0.0,0.0,5.0,0.0881,3.0,21.0,12.0,0.295,36.0,missing,,N,missing,missing,missing,missing,13,10,0.246,85,5.23,,N,2.15,3.95,0.08,1.03,missing,missing
15016,CREW,CAST,YES,152.0,2.0,0.013,0.074,0.0,0.0,5.0,0.0004,1.0,21.0,14.0,0.611,36.0,missing,,N,missing,missing,missing,missing,20,17,0.645,43,4.98,N,V,1.74,3.91,0.11,1.06,0,0
15017,CREW,CLEAN,YES,152.0,2.0,0.013,0,0.0,0.0,5.0,0.0,0.0,21.0,15.0,0.624,36.0,missing,,N,missing,missing,missing,missing,13,12,0.861,70,3.82,,AJ,1.83,2.39,0.67,2.92,missing,missing
15018,CREW,CUT,YES,152.0,6.0,0.039,0,0.0,0.0,5.0,0.0,0.0,21.0,15.0,0.598,36.0,missing,,N,missing,missing,missing,missing,21,20,0.788,192,4.15,G,N,1.35,4.19,0.6,2.74,missing,missing
15019,CREW,GANG,YES,152.0,2.0,0.013,0,0.001,1.0,5.0,0.0066,3.0,21.0,12.0,0.532,36.0,missing,,N,missing,missing,missing,missing,18,15,0.536,22,5.55,,N,1.33,2.18,0.22,1.24,missing,missing
15020,CREW,GROUP,YES,152.0,4.0,0.026,0,0.009,4.0,5.0,0.0131,2.0,21.0,11.0,0.499,36.0,missing,,N,missing,missing,missing,missing,23,20,0.518,390,4.41,,N,1.55,2.88,0.5,1.73,missing,missing
15021,CREW,J. CREW,NO,152.0,3.0,0.02,missing,0.0,0.0,0.0,0.0,0.0,21.0,16.0,0.637,36.0,missing,,N,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing
15022,CREW,MEMBER,YES,152.0,2.0,0.013,0,0.0,1.0,5.0,0.0153,3.0,21.0,11.0,0.355,36.0,missing,,N,missing,missing,missing,missing,18,11,0.455,137,5.6,,N,1.5,2.02,0.29,1.1,missing,missing
15023,CREW,MEN,YES,152.0,4.0,0.026,0,0.0,0.0,5.0,0.0,0.0,21.0,15.0,0.611,36.0,missing,,N,missing,missing,missing,missing,10,7,0.751,763,6.09,,N,missing,missing,missing,missing,missing,missing
15024,CREW,MOTLEY,NO,152.0,3.0,0.02,missing,0.0,0.0,0.0,0.0,0.0,21.0,16.0,0.637,36.0,missing,,N,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing
15025,CREW,MOVIE,YES,152.0,2.0,0.013,0,0.0,1.0,5.0,0.0,0.0,21.0,14.0,0.611,36.0,missing,,N,missing,missing,missing,missing,21,21,0.848,29,5.85,,N,2.19,2.62,0.81,4.77,missing,missing
15026,CREW,PEOPLE,YES,152.0,8.0,0.053,0,0.007,2.0,5.0,0.0009,1.0,21.0,13.0,0.545,36.0,missing,,N,missing,missing,missing,missing,18,17,0.731,847,5.51,,N,1.44,2.06,0.61,2.62,missing,missing
15027,CREW,PIRATE,YES,152.0,3.0,0.02,0,0.0,0.0,5.0,0.0453,2.0,21.0,13.0,0.321,36.0,missing,,N,missing,missing,missing,missing,20,13,0.326,4,missing,,N,0.8,2.11,0.2,1.05,missing,missing
15028,CREW,POSSE,NO,152.0,2.0,0.013,missing,0.0,0.0,0.0,0.0,0.0,21.0,16.0,0.637,36.0,missing,,N,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing
15029,CREW,ROWING,NO,152.0,4.0,0.026,missing,0.0,0.0,0.0,0.0,0.0,21.0,16.0,0.637,36.0,missing,,N,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing
15030,CREW,SHIP,YES,152.0,30.0,0.197,0,0.023,4.0,5.0,0.0569,1.0,21.0,11.0,0.295,36.0,missing,,N,missing,missing,missing,missing,9,8,0.292,83,6.25,N,N,2.22,3.7,0.44,1.86,missing,missing
15031,CREW,SPORT,YES,152.0,2.0,0.013,0,0.004,1.0,5.0,0.0,0.0,21.0,14.0,0.591,36.0,missing,,N,missing,missing,missing,missing,12,12,0.799,17,4.18,,N,1.83,2.07,0.5,1.59,missing,missing
15032,CREW,TEAM,YES,152.0,5.0,0.033,0,0.001,2.0,5.0,0.0057,3.0,21.0,10.0,0.486,36.0,missing,,N,missing,missing,missing,missing,17,12,0.574,83,4.81,,N,2.53,3.09,0.33,1.49,missing,missing
15033,CREW,WORK,YES,152.0,8.0,0.053,0,0.001,1.0,5.0,0.0,0.0,21.0,14.0,0.551,36.0,missing,,N,missing,missing,missing,missing,19,19,0.768,760,3.88,N,N,1.63,3.11,0.68,3.01,missing,missing
15924,CUSS,ANGER,YES,148.0,2.0,0.014,0,0.0,0.0,3.0,0.0058,1.0,12.0,7.0,0.785,0.0,missing,,V,missing,missing,missing,missing,14,12,0.388,48,3.75,,N,1.92,3.39,0.31,1.82,missing,missing
15925,CUSS,BAD,YES,148.0,17.0,0.115,0,0.018,3.0,3.0,0.0,0.0,12.0,5.0,0.211,0.0,missing,,V,missing,missing,missing,missing,9,9,0.887,142,3,,AJ,0.33,2.33,0.56,1.99,missing,missing
15926,CUSS,BECAUSE,YES,148.0,2.0,0.014,0,0.0,0.0,3.0,0.0,0.0,12.0,8.0,0.799,0.0,missing,,V,missing,missing,missing,missing,12,8,0.798,883,1.92,,C,missing,missing,missing,missing,missing,missing
15927,CUSS,CURSE,YES,148.0,19.0,0.128,0.02,0.132,2.0,3.0,0.0542,4.0,12.0,4.0,0.197,0.0,missing,,V,missing,missing,missing,missing,16,7,0.406,11,4.02,,N,missing,missing,missing,missing,missing,missing
15928,CUSS,FOUL,YES,148.0,2.0,0.014,0,0.004,1.0,3.0,0.01,3.0,12.0,4.0,0.197,0.0,missing,,V,missing,missing,missing,missing,19,16,0.68,4,3.47,T,AJ,1.32,3.78,0,1,missing,missing
15929,CUSS,FUCK,NO,148.0,2.0,0.014,missing,0.0,0.0,0.0,0.0,0.0,12.0,9.0,0.813,0.0,missing,,V,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing
15930,CUSS,LANGUAGE,YES,148.0,2.0,0.014,0,0.006,3.0,3.0,0.0,0.0,12.0,5.0,0.502,0.0,missing,,V,missing,missing,missing,missing,13,12,0.845,109,4,,N,2.25,3.16,0.83,1.88,missing,missing
15931,CUSS,MAD,YES,148.0,2.0,0.014,0,0.01,2.0,3.0,0.0,0.0,12.0,6.0,0.44,0.0,missing,,V,missing,missing,missing,missing,11,10,0.878,39,3.04,P,AJ,1.8,4.77,0.5,2.06,missing,missing
15932,CUSS,PROFANITY,NO,148.0,7.0,0.047,missing,0.0,0.0,0.0,0.0,0.0,12.0,9.0,0.813,0.0,missing,,V,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing
15933,CUSS,SHIT,NO,148.0,2.0,0.014,missing,0.0,0.0,0.0,0.0,0.0,12.0,9.0,0.813,0.0,missing,,V,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing
15934,CUSS,SWEAR,YES,148.0,51.0,0.345,0.191,0.017,1.0,3.0,0.0656,5.0,12.0,3.0,0.042,0.0,missing,,V,missing,missing,missing,missing,13,7,0.177,10,missing,T,V,1.85,3.07,0.39,1.66,0,0
15935,CUSS,WORD,YES,148.0,23.0,0.155,0,0.03,1.0,3.0,0.0003,1.0,12.0,6.0,0.299,0.0,missing,,V,missing,missing,missing,missing,20,17,0.638,274,5.13,,N,1.39,2.84,0.28,1.54,missing,missing
16274,DANGEROUS,ADVENTUROUS,YES,132.0,2.0,0.015,0.021,0.0,0.0,2.0,0.0047,2.0,22.0,17.0,0.378,46.0,missing,,AJ,1.4,1.76,0.3,1.59,23,18,0.567,5,2.46,,AJ,1.43,3.28,0.1,1.11,0,0
16275,DANGEROUS,BAD,YES,132.0,3.0,0.023,0,0.009,5.0,2.0,0.0,0.0,22.0,14.0,0.446,46.0,missing,,AJ,1.4,1.76,0.3,1.59,9,9,0.887,142,3,,AJ,0.33,2.33,0.56,1.99,missing,missing
16276,DANGEROUS,CAREFUL,YES,132.0,3.0,0.023,0.015,0.003,3.0,2.0,0.0025,2.0,22.0,14.0,0.446,46.0,missing,,AJ,1.4,1.76,0.3,1.59,14,9,0.583,62,missing,,AJ,0.5,1.15,0.42,1.74,3,0.165
16277,DANGEROUS,CAUTION,YES,132.0,2.0,0.015,0,0.002,1.0,2.0,0.003,1.0,22.0,17.0,0.537,46.0,missing,,AJ,1.4,1.76,0.3,1.59,14,13,0.697,19,3.15,,N,1.57,2.9,0.36,1.34,missing,missing
16278,DANGEROUS,CLIFF,YES,132.0,2.0,0.015,0,0.0,0.0,2.0,0.0,0.0,22.0,19.0,0.59,46.0,missing,,AJ,1.4,1.76,0.3,1.59,12,12,0.868,11,5.98,,N,1.83,2.51,0.17,1.37,missing,missing
16279,DANGEROUS,DEADLY,YES,132.0,2.0,0.015,0.096,0.003,1.0,2.0,0.0075,4.0,22.0,15.0,0.325,46.0,missing,,AJ,1.4,1.76,0.3,1.59,20,11,0.453,19,3.98,,AJ,missing,missing,missing,missing,missing,missing
16280,DANGEROUS,DIFFICULT,YES,132.0,2.0,0.015,0,0.0,1.0,2.0,0.0042,1.0,22.0,18.0,0.575,46.0,missing,,AJ,1.4,1.76,0.3,1.59,3,2,0.616,161,2.38,,AJ,1,1.56,0.33,1.02,missing,missing
16281,DANGEROUS,DRUGS,YES,132.0,3.0,0.023,0,0.0,1.0,2.0,0.0019,2.0,22.0,16.0,0.491,46.0,missing,,AJ,1.4,1.76,0.3,1.59,28,23,0.662,28,missing,,N,1.76,2.45,0.2,2.57,missing,missing
16282,DANGEROUS,EASY,YES,132.0,2.0,0.015,0,0.005,3.0,2.0,0.0003,1.0,22.0,16.0,0.537,46.0,missing,,AJ,1.4,1.76,0.3,1.59,8,7,0.795,125,2.81,G,V,0.38,1.64,0.63,1.74,missing,missing
16283,DANGEROUS,FRIGHTENING,NO,132.0,2.0,0.015,missing,0.0,0.0,0.0,0.0,0.0,22.0,20.0,0.605,46.0,missing,,AJ,1.4,1.76,0.3,1.59,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing
16284,DANGEROUS,GUN,YES,132.0,2.0,0.015,0,0.001,1.0,2.0,0.0003,1.0,22.0,17.0,0.552,46.0,missing,,AJ,1.4,1.76,0.3,1.59,18,16,0.823,118,6.08,G,N,2.24,2.3,0.59,5.25,missing,missing
16285,DANGEROUS,HARMFUL,YES,132.0,7.0,0.053,0.248,0.001,3.0,2.0,0.0035,3.0,22.0,14.0,0.438,46.0,missing,,AJ,1.4,1.76,0.3,1.59,17,12,0.379,4,missing,,AJ,1.38,2.7,0.25,1.11,3,0.042
16286,DANGEROUS,HAZARD,YES,132.0,4.0,0.03,0.156,0.0,0.0,2.0,0.0039,5.0,22.0,14.0,0.408,46.0,missing,,AJ,1.4,1.76,0.3,1.59,16,9,0.532,12,3.38,,N,1.67,2.78,0.13,1.04,0,0
16287,DANGEROUS,MOTORCYCLE,YES,132.0,2.0,0.015,0,0.0,0.0,2.0,0.0,0.0,22.0,19.0,0.59,46.0,missing,,AJ,1.4,1.76,0.3,1.59,20,17,0.778,0,missing,,N,0.94,3.06,0.29,1.71,missing,missing
16288,DANGEROUS,RECKLESS,YES,132.0,2.0,0.015,0.054,0.0,0.0,2.0,0.0013,3.0,22.0,17.0,0.529,46.0,missing,,AJ,1.4,1.76,0.3,1.59,22,12,0.485,9,missing,,AJ,missing,missing,missing,missing,missing,missing
16289,DANGEROUS,RISK,YES,132.0,5.0,0.038,0,0.001,2.0,2.0,0.0,0.0,22.0,17.0,0.522,46.0,missing,,AJ,1.4,1.76,0.3,1.59,13,13,0.767,54,2.7,,N,1.15,1.24,0.23,1.15,missing,missing
16290,DANGEROUS,ROAD,YES,132.0,5.0,0.038,0,0.0,0.0,2.0,0.0,0.0,22.0,19.0,0.567,46.0,missing,,AJ,1.4,1.76,0.3,1.59,24,22,0.829,197,5.48,N,N,1.77,3.98,0.64,3.29,missing,missing
16291,DANGEROUS,SAFE,YES,132.0,5.0,0.038,0,0.002,3.0,2.0,0.0005,1.0,22.0,16.0,0.499,46.0,missing,,AJ,1.4,1.76,0.3,1.59,21,20,0.791,58,3.72,G,AJ,1.4,3.03,0.3,1.59,missing,missing
16292,DANGEROUS,SCARY,YES,132.0,23.0,0.174,0,0.001,2.0,2.0,0.0,0.0,22.0,17.0,0.401,46.0,missing,,AJ,1.4,1.76,0.3,1.59,13,11,0.745,2,2.59,,AJ,2.73,4.48,0.55,1.59,missing,missing
16293,DANGEROUS,TOY,YES,132.0,2.0,0.015,0,0.0,0.0,2.0,0.0,0.0,22.0,19.0,0.59,46.0,missing,,AJ,1.4,1.76,0.3,1.59,19,17,0.928,4,5.32,G,N,2.29,4.07,0.12,1.81,missing,missing
16294,DANGEROUS,TROUBLE,YES,132.0,2.0,0.015,0,0.0,0.0,2.0,0.0031,2.0,22.0,17.0,0.552,46.0,missing,,AJ,1.4,1.76,0.3,1.59,18,16,0.434,134,2.25,,N,1.28,4.18,0.28,1.29,missing,missing
16295,DANGEROUS,UNSAFE,NO,132.0,3.0,0.023,missing,0.0,0.0,0.0,0.0,0.0,22.0,20.0,0.605,46.0,missing,,AJ,1.4,1.76,0.3,1.59,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing
16673,DECISION,ANSWER,YES,196.0,4.0,0.02,0,0.002,2.0,1.0,0.0006,1.0,21.0,16.0,0.635,119.0,3.25,,N,1.55,2.56,0.15,1.45,9,8,0.826,152,3.85,,N,1.44,2.25,0.67,3.39,missing,missing
16674,DECISION,CHOICE,YES,196.0,58.0,0.296,0.305,0.004,2.0,1.0,0.0011,2.0,21.0,16.0,0.256,119.0,3.25,,N,1.55,2.56,0.15,1.45,14,11,0.42,113,2.96,,N,1.29,2.23,0.5,2.58,2,0.109
16675,DECISION,CONCLUSION,YES,196.0,3.0,0.015,0.023,0.0,0.0,1.0,0.0025,2.0,21.0,17.0,0.64,119.0,3.25,,N,1.55,2.56,0.15,1.45,8,5,0.735,59,3.25,,N,1.38,2,0.13,1.01,0,0
16676,DECISION,DEBATE,YES,196.0,2.0,0.01,0,0.001,2.0,1.0,0.0,0.0,21.0,17.0,0.619,119.0,3.25,,N,1.55,2.56,0.15,1.45,9,9,0.817,32,2.5,,V,1.11,2.96,0.33,1.05,missing,missing
16677,DECISION,DECIDE,YES,196.0,11.0,0.056,0.115,0.0,0.0,1.0,0.0244,5.0,21.0,14.0,0.262,119.0,3.25,,N,1.55,2.56,0.15,1.45,14,8,0.359,40,2.64,,V,1.57,1.94,0.36,1.32,0,0
16678,DECISION,DIFFICULT,YES,196.0,3.0,0.015,0,0.0,0.0,1.0,0.0089,1.0,21.0,18.0,0.665,119.0,3.25,,N,1.55,2.56,0.15,1.45,3,2,0.305,161,2.38,,AJ,1,1.56,0.33,1.02,missing,missing
16679,DECISION,FATE,YES,196.0,2.0,0.01,0,0.0,0.0,1.0,0.0002,1.0,21.0,18.0,0.67,119.0,3.25,,N,1.55,2.56,0.15,1.45,13,10,0.668,33,2.75,,N,1.64,2.7,0.09,1.21,missing,missing
