Cues,Targets,Target Normed?,Sample Size,# Subjects Producing Target ,Forward Strength,Backward Strength,Mediated Strength,# Mediated Associates,# Non-Normed Potential Mediators,Shared Associate Strength,# Shared Associates,Cue Set Size,# Cue Competitors,Cue Competitor Strength,Cue Frequency (K&F),Cue Concreteness(Scale 1-7),Cue Homograph? (Letter=Yes),Cue Part of Speech,Mean Cue Connectivity,Cue Connectivity Strength,Cue Resonance Probability,Cue Resonance Strength,Target Set Size,# Target Competitors,Target Competitor Strength,Target Frequency (K&F),Target Concreteness(Scale 1-7),Target Homograph? (Letter=Yes),Target Part of Speech,Mean Target Connectivity,Target Connectivity Strength,Target Resonance Probability,Target Resonance Strength,# of Other Associate Links to Target,Strength of Other Associate Links to Target
THEORY,FACT,YES,144,3,0.021,0.015,0.0036,4,3,0.0014,2,25,17,0.619,129,1.9,,,2.09,3.02,0.32,1.56,18,15,0.702,447,3.08,,,1.5,3.45,0.39,1.3,4,0.209
THEORY,FREUD,NO,144,2,0.014,0,0,0,0,0,0,25,22,0.717,129,1.9,,,2.09,3.02,0.32,1.56,0,0,0,0,missing,,,missing,missing,missing,missing,missing,missing
THEORY,HYPOTHESIS,YES,144,10,0.069,0.272,0.0008,2,3,0.0208,7,25,13,0.231,129,1.9,,,2.09,3.02,0.32,1.56,13,5,0.375,18,2.25,,,2.23,3.05,0.31,1.21,2,0.043
THEORY,IDEA,YES,144,31,0.215,0,0.0087,5,3,0.0004,1,25,16,0.37,129,1.9,,,2.09,3.02,0.32,1.56,17,16,0.828,195,2.87,,,2.06,3.8,0.41,2.39,missing,missing
THEORY,LAW,YES,144,3,0.021,0,0,0,3,0,0,25,21,0.696,129,1.9,,,2.09,3.02,0.32,1.56,14,13,0.797,299,3.36,,,2.62,3.31,0.69,1.84,missing,missing
THEORY,MATH,YES,144,2,0.014,0,0.0049,3,3,0.0043,2,25,17,0.557,129,1.9,,,2.09,3.02,0.32,1.56,19,17,0.768,4,3.78,,,2.26,2.56,0.58,4.5,missing,missing
THEORY,MUSIC,YES,144,3,0.021,0,0,0,3,0,0,25,21,0.696,129,1.9,,,2.09,3.02,0.32,1.56,25,25,0.754,216,5.15,,,2.64,6.34,0.88,4.28,missing,missing
THEORY,OPINION,YES,144,2,0.014,0,0.0086,3,3,0.024,3,25,17,0.432,129,1.9,,,2.09,3.02,0.32,1.56,23,19,0.538,96,2.29,,,1.41,3.33,0.27,1.37,missing,missing
THEORY,PHILOSOPHY,YES,144,2,0.014,0.047,0,0,3,0.0162,4,25,17,0.363,129,1.9,,,2.09,3.02,0.32,1.56,24,15,0.447,86,2.67,,,3.3,5.28,0.1,1.04,0,0
THEORY,POSTULATE,NO,144,3,0.021,0,0,0,0,0,0,25,22,0.717,129,1.9,,,2.09,3.02,0.32,1.56,0,0,0,0,missing,,,missing,missing,missing,missing,missing,missing
THEORY,PRACTICE,YES,144,2,0.014,0,0,0,3,0.0005,1,25,20,0.689,129,1.9,,,2.09,3.02,0.32,1.56,18,14,0.637,94,missing,,,1.4,2.69,0,1,missing,missing
THEORY,PROFESSOR,YES,144,2,0.014,0,0.0003,1,3,0,0,25,20,0.682,129,1.9,,,2.09,3.02,0.32,1.56,11,11,0.806,57,6.52,,,1.36,2.93,0.36,1.1,missing,missing
THEORY,PROVE,YES,144,4,0.028,0.041,0,0,3,0.0029,5,25,16,0.55,129,1.9,,,2.09,3.02,0.32,1.56,24,17,0.544,53,2.54,,,2.04,4.89,0.17,1.17,0,0
THEORY,PSYCHOLOGY,YES,144,3,0.021,0,0.0066,3,3,0.0029,2,25,17,0.564,129,1.9,,,2.09,3.02,0.32,1.56,14,11,0.688,14,3.42,,,1.62,1.5,0.31,1.19,missing,missing
THEORY,QUESTION,YES,144,3,0.021,0,0.0046,2,3,0,0,25,19,0.613,129,1.9,,,2.09,3.02,0.32,1.56,6,5,0.87,257,3.91,,,0.4,0.95,0.6,1.99,missing,missing
THEORY,REASON,YES,144,3,0.021,0,0.0022,2,3,0.0034,2,25,17,0.377,129,1.9,,,2.09,3.02,0.32,1.56,27,23,0.683,241,3.44,G,N,1.76,4.03,0.32,2.11,missing,missing
THEORY,RELATIVITY,YES,144,4,0.028,0.123,0,0,3,0.0068,1,25,20,0.599,129,1.9,,,2.09,3.02,0.32,1.56,19,14,0.399,3,missing,,,1.44,3.01,0.13,1.04,0,0
THEORY,SCIENCE,YES,144,13,0.09,0,0.0107,7,3,0.0026,4,25,14,0.453,129,1.9,,,2.09,3.02,0.32,1.56,18,14,0.581,131,4.14,,,1.72,2.53,0.67,1.92,missing,missing
THEORY,STATEMENT,YES,144,2,0.014,0,0.0026,3,3,0.0035,2,25,17,0.578,129,1.9,,,2.09,3.02,0.32,1.56,18,14,0.538,141,missing,,,1.75,4.49,0.25,1.12,missing,missing
THEORY,THESIS,YES,144,2,0.014,0.036,0.0019,1,3,0.0167,3,25,17,0.391,129,1.9,,,2.09,3.02,0.32,1.56,18,9,0.434,11,missing,,,1.15,0,0.08,0,1,0.027
THEORY,WORK,YES,144,2,0.014,0,0.0013,3,3,0,0,25,18,0.661,129,1.9,,,2.09,3.02,0.32,1.56,19,19,0.768,760,3.88,N,N,1.63,3.11,0.68,3.01,missing,missing
THEORY,WRONG,YES,144,3,0.021,0,0.0008,1,3,0,0,25,20,0.668,129,1.9,,,2.09,3.02,0.32,1.56,6,6,0.88,129,2.6,,,0.67,1.02,0.67,2.34,missing,missing
THERAPY,COUGH,YES,147,2,0.014,0,0,0,5,0.0044,1,27,20,0.668,12,missing,,,missing,missing,missing,missing,11,7,0.696,7,5.35,,,1.12,1.62,0.5,1.58,missing,missing
THERAPY,CRAZY,YES,147,2,0.014,0,0.0018,2,5,0.0004,1,27,18,0.6,12,missing,,,missing,missing,missing,missing,16,9,0.515,34,2.2,,,1.3,0,0.6,0,missing,missing
THERAPY,DOCTOR,YES,147,2,0.014,0,0.0145,6,5,0.0069,4,27,13,0.247,12,missing,,,missing,missing,missing,missing,19,13,0.751,100,5.75,G,N,2.24,4.73,0.71,3.86,missing,missing
THERAPY,DRUG,YES,147,3,0.02,0,0,0,5,0,0,27,21,0.689,12,missing,,,missing,missing,missing,missing,20,20,0.711,24,5.54,G,N,1.8,3.09,0.65,3.33,missing,missing
THERAPY,GROUP,YES,147,2,0.014,0.02,0.0003,1,5,0.0007,1,27,20,0.675,12,missing,,,missing,missing,missing,missing,23,20,0.727,390,4.41,,,1.55,2.88,0.5,1.73,0,0
THERAPY,HEAL,YES,147,2,0.014,0,0,0,5,0.0108,4,27,18,0.484,12,missing,,,missing,missing,missing,missing,19,14,0.599,2,4.08,,,1.82,3.98,0.24,1.11,missing,missing
THERAPY,HELP,YES,147,25,0.17,0,0.0052,6,5,0.0005,1,27,15,0.409,12,missing,,,missing,missing,missing,missing,23,21,0.706,311,2.82,,,1.14,1.68,0.5,2.64,missing,missing
THERAPY,HOSPITAL,YES,147,3,0.02,0,0.0029,4,5,0.0165,4,27,15,0.396,12,missing,,,missing,missing,missing,missing,17,13,0.427,110,6.8,,,1.76,4.45,0.41,1.58,missing,missing
THERAPY,ILL,YES,147,2,0.014,0,0.0107,4,5,0.0222,1,27,17,0.614,12,missing,,,missing,missing,missing,missing,6,5,0.143,39,3.49,,,1.83,2.07,0.5,1.4,missing,missing
THERAPY,INJURY,YES,147,2,0.014,0,0,0,5,0.0007,2,27,19,0.661,12,missing,,,missing,missing,missing,missing,12,10,0.875,27,5.51,,N,1.58,3.83,0.25,1.2,missing,missing
THERAPY,LEG,YES,147,2,0.014,0,0.0004,1,5,0.0002,1,27,19,0.667,12,missing,,,missing,missing,missing,missing,10,9,0.871,58,6.04,,,1.3,2.38,0.7,2.68,missing,missing
THERAPY,MASSAGE,YES,147,4,0.027,0.033,0,0,5,0,0,27,21,0.682,12,missing,,,missing,missing,missing,missing,15,11,0.666,2,missing,,,1.08,0,0.17,0,0,0
THERAPY,MENTAL,YES,147,3,0.02,0,0.0089,3,5,0.0066,3,27,16,0.437,12,missing,,,missing,missing,missing,missing,21,11,0.488,43,missing,,,0.64,0,0.07,0,missing,missing
THERAPY,MUSCLE,YES,147,2,0.014,0,0.0002,1,5,0,0,27,20,0.681,12,missing,,,missing,missing,missing,missing,22,20,0.753,42,6,,,1.6,2.07,0.5,2.04,missing,missing
THERAPY,NEED,YES,147,2,0.014,0,0.0056,1,5,0.0034,1,27,20,0.525,12,missing,,,missing,missing,missing,missing,8,6,0.734,360,3.1,G,V,0.71,1.8,0.43,1.37,missing,missing
THERAPY,PHYSICAL,YES,147,18,0.122,0.135,0.0009,1,5,0.0024,2,27,19,0.553,12,missing,,,missing,missing,missing,missing,17,11,0.428,138,missing,,,1.21,1.42,0.29,1.21,0,0
THERAPY,PROBLEM,YES,147,2,0.014,0,0,0,5,0.007,1,27,20,0.525,12,missing,,,missing,missing,missing,missing,13,12,0.761,313,3.64,,,1.31,2.93,0.46,1.85,missing,missing
THERAPY,PSYCHIATRIST,NO,147,2,0.014,0,0,0,0,0,0,27,22,0.709,12,missing,,,missing,missing,missing,missing,0,0,0,0,missing,,,missing,missing,missing,missing,missing,missing
THERAPY,PSYCHOLOGIST,NO,147,2,0.014,0,0,0,0,0,0,27,22,0.709,12,missing,,,missing,missing,missing,missing,0,0,0,0,missing,,,missing,missing,missing,missing,missing,missing
THERAPY,PSYCHOLOGY,YES,147,7,0.048,0,0,0,5,0.0005,2,27,19,0.627,12,missing,,,missing,missing,missing,missing,14,11,0.703,14,3.42,,,1.62,1.5,0.31,1.19,missing,missing
THERAPY,PSYCHOTHERAPY,NO,147,6,0.041,0,0,0,0,0,0,27,22,0.709,12,missing,,,missing,missing,missing,missing,0,0,0,0,missing,,,missing,missing,missing,missing,missing,missing
THERAPY,RECOVER,NO,147,2,0.014,0,0,0,0,0,0,27,22,0.709,12,missing,,,missing,missing,missing,missing,0,0,0,0,missing,,,missing,missing,missing,missing,missing,missing
THERAPY,REHABILITATION,NO,147,2,0.014,0,0,0,0,0,0,27,22,0.709,12,missing,,,missing,missing,missing,missing,0,0,0,0,missing,,,missing,missing,missing,missing,missing,missing
THERAPY,SESSION,YES,147,3,0.02,0.014,0.0005,1,5,0.0002,1,27,20,0.675,12,missing,,,missing,missing,missing,missing,12,9,0.671,80,3.62,,,1.45,1.77,0.18,1.05,0,0
THERAPY,SHRINK,YES,147,4,0.027,0,0,0,5,0.0011,2,27,20,0.668,12,missing,,,missing,missing,missing,missing,15,9,0.698,5,3.65,,,1.1,0,0.3,0,missing,missing
THERAPY,SICK,YES,147,4,0.027,0,0.0246,7,5,0.0065,3,27,14,0.538,12,missing,,,missing,missing,missing,missing,13,10,0.387,51,3.89,,,2.23,2.08,0.92,4.82,missing,missing
THERAPY,TREATMENT,YES,147,8,0.054,0.071,0,0,5,0.0101,5,27,16,0.404,12,missing,,,missing,missing,missing,missing,23,15,0.543,127,missing,,,3.05,5.09,0.05,1.05,0,0
THERE,ARE,NO,152,3,0.02,0,0,0,0,0,0,9,6,0.828,2724,2.12,,,missing,missing,missing,missing,0,0,0,0,missing,,,missing,missing,missing,missing,missing,missing
THERE,FAR,YES,152,2,0.013,0,0,0,3,0,0,9,5,0.815,2724,2.12,,,missing,missing,missing,missing,12,10,0.878,427,2.98,,,1.1,1.96,0.7,2.4,missing,missing
THERE,HERE,YES,152,113,0.743,0.632,0.0039,2,3,0,0,9,3,0.039,2724,2.12,,,missing,missing,missing,missing,4,3,0.276,750,2.81,,,0.5,0.99,0.75,1.82,0,0
THERE,IS,NO,152,3,0.02,0,0,0,0,0,0,9,6,0.828,2724,2.12,,,missing,missing,missing,missing,0,0,0,0,missing,,,missing,missing,missing,missing,missing,missing
THERE,PLACE,YES,152,4,0.026,0.014,0.0027,1,3,0.0461,1,9,3,0.039,2724,2.12,,,missing,missing,missing,missing,22,16,0.502,571,3.98,,,1.33,3.25,0.39,2.3,0,0
THERE,POINT,YES,152,2,0.013,0,0,0,3,0,0,9,5,0.815,2724,2.12,,,missing,missing,missing,missing,24,23,0.804,395,4.54,T,N,1.7,5.19,0.52,1.84,missing,missing
THERE,THEIR,NO,152,2,0.013,0,0,0,0,0,0,9,6,0.828,2724,2.12,,,missing,missing,missing,missing,0,0,0,0,missing,,,missing,missing,missing,missing,missing,missing
THERE,VACATION,YES,152,2,0.013,0,0,0,3,0,0,9,5,0.815,2724,2.12,,,missing,missing,missing,missing,16,16,0.881,47,4.1,,,1.56,2.53,0.38,1.78,missing,missing
THERE,WHERE,YES,152,3,0.02,0.08,0,0,3,0.0874,2,9,3,0.039,2724,2.12,,,missing,missing,missing,missing,12,6,0.532,938,2.49,,,2.89,4.58,0.67,1.58,0,0
THERMOMETER,ANAL,NO,152,3,0.02,0,0,0,0,0,0,11,8,0.816,10,missing,,,1.38,2.93,0.25,1.04,0,0,0,0,missing,,,missing,missing,missing,missing,missing,missing
THERMOMETER,COLD,YES,152,8,0.053,0,0.1334,4,3,0.058,2,11,3,0.046,10,missing,,,1.38,2.93,0.25,1.04,19,16,0.409,171,4.67,P,AJ,1.72,3.81,0.89,4.74,missing,missing
THERMOMETER,DEGREES,NO,152,7,0.046,0,0,0,0,0,0,11,8,0.816,10,missing,,,1.38,2.93,0.25,1.04,0,0,0,0,missing,,,missing,missing,missing,missing,missing,missing
THERMOMETER,FEVER,YES,152,7,0.046,0.011,0.0096,3,3,0.0557,3,11,3,0.046,10,missing,,,1.38,2.93,0.25,1.04,14,9,0.425,19,4.37,,,1.92,4.79,0.31,1.11,3,0.053
THERMOMETER,GLASS,YES,152,2,0.013,0,0,0,3,0,0,11,7,0.803,10,missing,,,1.38,2.93,0.25,1.04,21,20,0.846,99,6.31,T,N,1.55,3.14,0.65,2.32,missing,missing
THERMOMETER,HOT,YES,152,21,0.138,0,0.208,3,3,0.0358,1,11,4,0.099,10,missing,,,1.38,2.93,0.25,1.04,8,7,0.217,130,5.03,G,AJ,1.12,1.63,0.88,2.26,missing,missing
THERMOMETER,MEASURE,YES,152,2,0.013,0,0,0,3,0,0,11,7,0.803,10,missing,,,1.38,2.93,0.25,1.04,23,22,0.829,91,3.56,,,1.14,1.65,0.41,1.74,missing,missing
THERMOMETER,MERCURY,NO,152,3,0.02,0,0,0,0,0,0,11,8,0.816,10,missing,,,1.38,2.93,0.25,1.04,0,0,0,0,missing,,,missing,missing,missing,missing,missing,missing
THERMOMETER,RED,YES,152,3,0.02,0,0,0,3,0,0,11,7,0.796,10,missing,,,1.38,2.93,0.25,1.04,14,13,0.804,197,4.97,,,2.31,3.61,0.85,2.05,missing,missing
THERMOMETER,SICKNESS,YES,152,8,0.053,0,0,0,3,0.0039,2,11,5,0.664,10,missing,,,1.38,2.93,0.25,1.04,16,11,0.734,6,4.94,,,2.54,2.34,0,1,missing,missing
THERMOMETER,TEMPERATURE,YES,152,73,0.48,0.032,0.0005,1,3,0.0535,3,11,4,0.099,10,missing,,,1.38,2.93,0.25,1.04,12,7,0.334,135,4.61,,,3.82,5.64,0.55,2.14,1,0.011
THESAURUS,BOOK,YES,151,12,0.079,0,0.063,3,3,0,0,10,3,0.092,1,missing,,,0.71,1.68,0.14,1.09,15,14,0.912,193,6.09,,,1.57,2.27,0.71,3.11,missing,missing
THESAURUS,DICTIONARY,YES,151,45,0.298,0.089,0.0193,1,3,0.1928,2,10,4,0.105,1,missing,,,0.71,1.68,0.14,1.09,8,3,0.103,57,6.29,,,1.5,2.25,0.83,1.68,1,0.055
THESAURUS,DINOSAUR,YES,151,2,0.013,0,0,0,3,0,0,10,6,0.82,1,missing,,,0.71,1.68,0.14,1.09,20,14,0.573,1,missing,,,1.14,0,0.14,0,missing,missing
THESAURUS,ENGLISH,YES,151,2,0.013,0,0,0,3,0.0023,1,10,5,0.741,1,missing,,,0.71,1.68,0.14,1.09,16,14,0.813,195,missing,,,1.6,3.34,0.47,2.07,missing,missing
THESAURUS,HELPFUL,YES,151,5,0.033,0,0,0,3,0,0,10,6,0.8,1,missing,,,0.71,1.68,0.14,1.09,22,15,0.61,29,missing,,,1.87,0,0.07,0,missing,missing
THESAURUS,REFERENCE,NO,151,2,0.013,0,0,0,0,0,0,10,7,0.833,1,missing,,,0.71,1.68,0.14,1.09,0,0,0,0,missing,,,missing,missing,missing,missing,missing,missing
THESAURUS,ROGET'S,NO,151,2,0.013,0,0,0,0,0,0,10,7,0.833,1,missing,,,0.71,1.68,0.14,1.09,0,0,0,0,missing,,,missing,missing,missing,missing,missing,missing
THESAURUS,SAME,YES,151,7,0.046,0,0,0,3,0,0,10,6,0.787,1,missing,,,0.71,1.68,0.14,1.09,8,8,0.845,686,2.44,,,2.12,2.18,0.88,3.12,missing,missing
THESAURUS,SYNONYM,NO,151,4,0.026,0,0,0,0,0,0,10,7,0.833,1,missing,,,0.71,1.68,0.14,1.09,0,0,0,0,missing,,,missing,missing,missing,missing,missing,missing
THESAURUS,WORDS,YES,151,53,0.351,0,0.155,1,3,0.0218,2,10,4,0.105,1,missing,,,0.71,1.68,0.14,1.09,19,12,0.378,274,missing,,,1.93,0,0.43,0,missing,missing
THESIS,ANTITHESIS,NO,140,5,0.036,0,0,0,0,0,0,18,13,0.641,11,missing,,,missing,missing,missing,missing,0,0,0,0,missing,,,missing,missing,missing,missing,missing,missing
THESIS,BEGINNING,YES,140,2,0.014,0,0.0009,1,5,0,0,18,11,0.613,11,missing,,,missing,missing,missing,missing,4,4,0.933,164,2.43,,,0.5,1.09,0,1,missing,missing
THESIS,COLLEGE,YES,140,2,0.014,0,0.0007,1,5,0.0011,2,18,9,0.585,11,missing,,,missing,missing,missing,missing,15,12,0.7,267,5.35,,,3.29,3.55,0.5,1.81,missing,missing
THESIS,CONCLUSION,YES,140,2,0.014,0,0,0,5,0.0009,1,18,11,0.613,11,missing,,,missing,missing,missing,missing,8,7,0.819,59,3.25,,,1.38,2,0.13,1.01,missing,missing
THESIS,DISSERTATION,NO,140,5,0.036,0,0,0,0,0,0,18,13,0.641,11,missing,,,missing,missing,missing,missing,0,0,0,0,missing,,,missing,missing,missing,missing,missing,missing
THESIS,DOCTORATE,NO,140,2,0.014,0,0,0,0,0,0,18,13,0.641,11,missing,,,missing,missing,missing,missing,0,0,0,0,missing,,,missing,missing,missing,missing,missing,missing
THESIS,ESSAY,YES,140,3,0.021,0,0,0,5,0.0397,3,18,9,0.292,11,missing,,,missing,missing,missing,missing,17,14,0.672,19,5.22,,,2.82,4.29,0.18,1.15,missing,missing
THESIS,GRADUATE,YES,140,2,0.014,0,0,0,5,0.0007,1,18,11,0.613,11,missing,,,missing,missing,missing,missing,20,15,0.616,30,missing,,,1.12,2.54,0.13,1.04,missing,missing
THESIS,HARD,YES,140,2,0.014,0,0.0029,3,5,0.0002,1,18,9,0.578,11,missing,,,missing,missing,missing,missing,10,9,0.839,202,4.21,N,AJ,1,1.24,0.9,2.66,missing,missing
THESIS,IDEA,YES,140,10,0.071,0,0.0077,1,5,0,0,18,11,0.534,11,missing,,,missing,missing,missing,missing,17,17,0.859,195,2.87,,,2.06,3.8,0.41,2.39,missing,missing
THESIS,MASTERS,NO,140,10,0.071,0,0,0,0,0,0,18,13,0.641,11,missing,,,missing,missing,missing,missing,0,0,0,0,missing,,,missing,missing,missing,missing,missing,missing
THESIS,PAPER,YES,140,42,0.3,0,0.0056,2,5,0,0,18,10,0.291,11,missing,,,missing,missing,missing,missing,15,14,0.855,157,5.96,,,1.07,3.4,0.64,1.96,missing,missing
THESIS,PHD,NO,140,3,0.021,0,0,0,0,0,0,18,13,0.641,11,missing,,,missing,missing,missing,missing,0,0,0,0,missing,,,missing,missing,missing,missing,missing,missing
THESIS,RESEARCH,YES,140,4,0.029,0,0,0,5,0.0303,2,18,10,0.298,11,missing,,,missing,missing,missing,missing,16,13,0.546,171,3.22,,,1.93,2.46,0.2,1.06,missing,missing
THESIS,SENTENCE,YES,140,2,0.014,0,0.0186,1,5,0,0,18,11,0.541,11,missing,,,missing,missing,missing,missing,18,16,0.773,34,4.76,P,N,0.81,2.14,0.25,1.61,missing,missing
THESIS,STATEMENT,YES,140,12,0.086,0,0.0005,1,5,0.003,1,18,10,0.505,11,missing,,,missing,missing,missing,missing,18,15,0.487,141,missing,,,1.75,4.49,0.25,1.12,missing,missing
THESIS,THEORY,YES,140,5,0.036,0.014,0,0,5,0.0167,3,18,9,0.434,11,missing,,,missing,missing,missing,missing,25,18,0.46,129,1.9,,,2.09,3.02,0.32,1.56,0,0
THESIS,WORK,YES,140,2,0.014,0,0.0037,5,5,0.002,1,18,7,0.513,11,missing,,,missing,missing,missing,missing,19,18,0.625,760,3.88,N,N,1.63,3.11,0.68,3.01,missing,missing
THICK,BIG,YES,148,2,0.014,0,0.0013,2,0,0,0,8,5,0.764,67,3.77,G,AJ,0.62,1.65,0.25,1.14,9,9,0.939,360,2.83,,,1.44,2.87,0.67,2.5,missing,missing
THICK,FAT,YES,148,4,0.027,0,0.3844,2,0,0.1376,2,8,4,0.082,67,3.77,G,AJ,0.62,1.65,0.25,1.14,16,13,0.548,60,4.8,,,1.47,4.4,0.6,2.77,missing,missing
THICK,HAIR,YES,148,5,0.034,0,0,0,0,0,0,8,7,0.785,67,3.77,G,AJ,0.62,1.65,0.25,1.14,19,18,0.816,148,5.7,,,0.72,2.76,0.72,3.34,missing,missing
THICK,HEAVY,YES,148,2,0.014,0,0,0,0,0.0011,2,8,5,0.764,67,3.77,G,AJ,0.62,1.65,0.25,1.14,16,13,0.772,110,4.09,,,1.33,2.65,0.27,1.62,missing,missing
THICK,MOLASSES,YES,148,2,0.014,0.059,0,0,0,0,0,8,7,0.805,67,3.77,G,AJ,0.62,1.65,0.25,1.14,16,14,0.778,1,missing,,,2.27,5.23,0.13,1.02,0,0
THICK,RICH,YES,148,3,0.02,0,0,0,0,0,0,8,7,0.799,67,3.77,G,AJ,0.62,1.65,0.25,1.14,7,7,0.918,74,3.63,T,AJ,1.14,1.54,0.86,1.97,missing,missing
THICK,SHAKE,YES,148,2,0.014,0,0,0,0,0,0,8,7,0.805,67,3.77,G,AJ,0.62,1.65,0.25,1.14,20,19,0.763,17,5.1,,,1.16,3.26,0.32,2,missing,missing
THICK,THIN,YES,148,101,0.682,0.084,0.0054,1,0,0.0152,1,8,6,0.11,67,3.77,G,AJ,0.62,1.65,0.25,1.14,5,3,0.185,92,3.82,G,AJ,1.4,1.67,0.8,2.17,1,0.201
THICKET,BAMBI,NO,148,2,0.014,0,0,0,0,0,0,16,13,0.596,1,6.49,,,0.69,1.33,0,1,0,0,0,0,missing,,,missing,missing,missing,missing,missing,missing
THICKET,BRIAR,NO,148,4,0.027,0,0,0,0,0,0,16,13,0.596,1,6.49,,,0.69,1.33,0,1,0,0,0,0,missing,,,missing,missing,missing,missing,missing,missing
THICKET,BRUSH,YES,148,15,0.101,0,0,0,3,0,0,16,12,0.495,1,6.49,,,0.69,1.33,0,1,6,6,0.913,44,5.66,T,N,0.5,1.39,0.83,2.7,missing,missing
THICKET,BUSH,YES,148,19,0.128,0,0.0026,1,3,0.0009,1,16,10,0.34,1,6.49,,,0.69,1.33,0,1,15,13,0.831,14,5.69,,,1,2.57,0.5,2.15,missing,missing
THICKET,CRICKET,YES,148,4,0.027,0,0,0,3,0,0,16,12,0.569,1,6.49,,,0.69,1.33,0,1,14,14,0.872,3,missing,T,N,0.79,2.72,0.07,1.03,missing,missing
THICKET,FENCE,YES,148,6,0.041,0,0,0,3,0,0,16,12,0.555,1,6.49,,,0.69,1.33,0,1,20,18,0.789,30,5.85,N,N,0.94,2.09,0.39,1.94,missing,missing
THICKET,FOREST,YES,148,6,0.041,0,0.0128,1,3,0.0052,1,16,11,0.501,1,6.49,,,0.69,1.33,0,1,9,8,0.815,66,6.37,,,1,1.75,0.56,1.64,missing,missing
THICKET,GRASS,YES,148,5,0.034,0,0,0,3,0,0,16,12,0.562,1,6.49,,,0.69,1.33,0,1,14,12,0.782,53,5.93,T,N,1.5,2.96,0.5,2.84,missing,missing
THICKET,MOVIE,YES,148,3,0.02,0,0.0029,2,3,0.0009,1,16,10,0.548,1,6.49,,,0.69,1.33,0,1,21,20,0.787,29,5.85,,,2.19,2.62,0.81,4.77,missing,missing
THICKET,SHOW,YES,148,2,0.014,0,0.0015,2,3,0.0024,1,16,10,0.548,1,6.49,,,0.69,1.33,0,1,24,22,0.679,287,3.93,G,V,1.52,3.66,0.44,1.86,missing,missing
THICKET,STICKER,YES,148,2,0.014,0,0,0,3,0,0,16,12,0.582,1,6.49,,,0.69,1.33,0,1,19,17,0.685,0,missing,G,N,1,2.97,0.12,1.21,missing,missing
THICKET,THICK,YES,148,5,0.034,0,0.0014,1,3,0,0,16,11,0.508,1,6.49,,,0.69,1.33,0,1,8,8,0.819,67,3.77,G,AJ,0.62,1.65,0.25,1.14,missing,missing
THICKET,THORN,YES,148,11,0.074,0,0,0,3,0.0045,1,16,11,0.394,1,6.49,,,0.69,1.33,0,1,16,14,0.833,3,6.87,,,1.6,3.11,0.13,1.12,missing,missing
THICKET,TICKET,YES,148,2,0.014,0,0,0,3,0.0019,2,16,10,0.548,1,6.49,,,0.69,1.33,0,1,19,16,0.666,16,7,G,N,0.89,2.16,0.28,1.57,missing,missing
THICKET,WEEDS,NO,148,2,0.014,0,0,0,0,0,0,16,13,0.596,1,6.49,,,0.69,1.33,0,1,0,0,0,0,missing,,,missing,missing,missing,missing,missing,missing
THICKET,WOODS,YES,148,8,0.054,0,0.006,2,3,0.0106,2,16,9,0.339,1,6.49,,,0.69,1.33,0,1,14,12,0.544,25,6.87,,,1.36,2.38,0.29,1.31,missing,missing
THIEF,BAD,YES,165,2,0.012,0,0.0079,5,0,0.0001,1,11,5,0.454,8,4.83,,,3,2.63,0.55,2.25,9,8,0.876,142,3,,,0.33,2.33,0.56,1.99,missing,missing
THIEF,BURGLAR,YES,165,14,0.085,0.257,0.0136,3,0,0.0626,7,11,3,0.054,8,4.83,,,3,2.63,0.55,2.25,19,10,0.312,1,5.58,,,2.94,4.85,0.28,1.25,3,0.09
THIEF,CRIME,YES,165,2,0.012,0.028,0.0193,4,0,0.0195,4,11,6,0.381,8,4.83,,,3,2.63,0.55,2.25,24,17,0.455,34,3.81,,,2.59,4.15,0.59,1.68,4,0.146
THIEF,CRIMINAL,YES,165,2,0.012,0.051,0.0169,5,0,0.0159,5,11,3,0.036,8,4.83,,,3,2.63,0.55,2.25,18,11,0.506,24,4.92,,,4.12,5.82,0.59,1.51,5,0.17
THIEF,CROOK,YES,165,15,0.091,0.459,0.0112,3,0,0.0395,5,11,5,0.078,8,4.83,,,3,2.63,0.55,2.25,11,4,0.068,3,5.27,N,N,3,3.12,0.6,1.29,3,0.152
THIEF,MONEY,YES,165,2,0.012,0,0.0163,2,0,0,0,11,8,0.405,8,4.83,,,3,2.63,0.55,2.25,19,18,0.744,265,5.77,,,1.39,2.91,0.89,5.53,missing,missing
THIEF,NIGHT,YES,165,2,0.012,0,0,0,0,0,0,11,10,0.878,8,4.83,,,3,2.63,0.55,2.25,6,6,0.948,411,4.83,G,N,0.5,1.03,0.67,2.29,missing,missing
THIEF,POLICE,YES,165,5,0.03,0,0.0033,2,0,0,0,11,8,0.624,8,4.83,,,3,2.63,0.55,2.25,19,18,0.741,155,6.69,,,0.89,1.57,0.72,2.9,missing,missing
THIEF,ROBBER,YES,165,37,0.224,0.361,0.0205,3,0,0.0323,6,11,4,0.048,8,4.83,,,3,2.63,0.55,2.25,16,9,0.3,2,6.25,,,2.81,3.98,0.38,1.54,3,0.255
THIEF,STEAL,YES,165,64,0.388,0.089,0.0258,5,0,0.0051,4,11,3,0.054,8,4.83,,,3,2.63,0.55,2.25,17,11,0.255,5,3.59,,,2.56,3.44,0.44,2.41,5,0.348
