Targets,Sample Size,Set Size,Set Size + Idiosyncratic,Frequency (K&F),Concreteness(Scale 1-7),Homograph? (Letter=Yes),Part of Speech,Mean Connectivity,Connectivity Strength,Resonance Probability,Resonance Strength,Accessibility Index,Non-Responses,Ending Stem Set Size  ,Ending Stem Strength,Beginning Stem Set Size,Beginning Stem Strength,Ending Fragment Cue,Ending Fragment Set size,Ending Fragment Strength,Beginning Fragment Cue,Beginning Cue Set Size,Beginning Cue Strength
DISCIPLINE,126,23,70,27,2.17,,N,1.50,2.560,0.40,1.170,10,0.05,missing,missing,missing,missing,,missing,missing,,missing,missing
DISCOMFORT,147,14,42,7,missing,,N,1.46,3.460,0.08,1.040,1,0.02,missing,missing,missing,missing,,missing,missing,,missing,missing
DISCOURAGE,144,20,76,9,2.89,,V,missing,missing,missing,missing,3,0.11,missing,missing,missing,missing,,missing,missing,,missing,missing
DISCOVER,147,16,38,40,3.25,,V,0.25,0.890,0.33,1.230,11,0.01,missing,missing,15,0.00,,missing,missing,,missing,missing
DISCOVERY,144,13,47,45,3.06,,N,0.20,0.800,0.10,1.020,4,0.02,33,0.00,15,0.00,,missing,missing,,missing,missing
DISCREET,143,19,39,7,2.60,,AJ,1.94,3.950,0.06,1.090,2,0.15,missing,missing,15,0.00,,missing,missing,,missing,missing
DISCUSS,132,6,26,28,missing,,V,1.60,1.960,0.20,1.020,6,0.01,11,0.01,15,0.00,,missing,missing,,missing,missing
DISCUSSION,140,11,25,126,3.70,,N,1.64,3.490,0.27,1.070,6,0.01,missing,missing,missing,missing,,missing,missing,,missing,missing
DISEASE,144,12,39,53,5.63,,N,1.64,3.090,0.46,1.810,31,0.04,missing,missing,missing,missing,,missing,missing,,missing,missing
DISGRACE,197,17,57,3,1.92,,N,1.67,2.570,0.07,1.090,2,0.04,missing,missing,missing,missing,,missing,missing,,missing,missing
DISGUISE,148,15,37,3,4.02,,V,1.43,2.150,0.14,1.100,3,0.05,missing,missing,missing,missing,,missing,missing,,missing,missing
DISGUST,144,20,54,1,missing,,V,2.12,3.420,0.00,1.000,8,0.06,14,0.02,15,0.00,,missing,missing,,missing,missing
DISGUSTING,145,14,46,4,missing,,AJ,3.08,3.460,0.50,1.340,18,0.01,25,0.00,15,0.00,,missing,missing,,missing,missing
DISH,165,15,31,16,6.77,,N,2.20,4.180,0.40,1.470,20,0.02,8,0.23,15,0.04,--SH,15,0.03,DI--,13,0.07
DISHES,144,19,32,21,missing,G,N,2.22,5.210,0.17,1.470,12,0.00,missing,missing,15,0.00,,missing,missing,,missing,missing
DISHONEST,146,15,39,2,2.62,,AJ,2.57,4.890,0.57,1.330,15,0.01,missing,missing,missing,missing,,missing,missing,,missing,missing
DISHWASHER,153,18,48,1,5.73,,N,2.67,6.220,0.06,1.030,1,0.01,missing,missing,missing,missing,,missing,missing,,missing,missing
DISINTEGRATE,152,18,58,2,missing,,V,1.12,3.080,0.06,1.080,6,0.14,missing,missing,missing,missing,,missing,missing,,missing,missing
DISLIKE,145,6,25,14,2.75,,V,1.20,1.240,0.40,1.150,17,0.01,missing,missing,15,0.00,,missing,missing,D-SL--E,1,0.22
DISMAY,148,21,66,5,missing,,V,missing,missing,missing,missing,2,0.05,missing,missing,missing,missing,,missing,missing,,missing,missing
DISMISS,151,14,43,5,missing,,V,missing,missing,missing,missing,2,0.01,missing,missing,missing,missing,,missing,missing,,missing,missing
DISORDER,149,22,59,7,missing,G,N,missing,missing,missing,missing,10,0.08,missing,missing,missing,missing,,missing,missing,,missing,missing
DISOWN,152,31,76,1,missing,,V,missing,missing,missing,missing,1,0.02,missing,missing,missing,missing,,missing,missing,,missing,missing
DISPERSE,154,20,59,2,missing,,V,missing,missing,missing,missing,2,0.03,11,0.02,missing,missing,,missing,missing,,missing,missing
DISPLAY,146,17,49,41,missing,,N,missing,missing,missing,missing,3,0.02,missing,missing,missing,missing,,missing,missing,,missing,missing
DISPROVE,150,20,64,3,missing,,V,missing,missing,missing,missing,1,0.10,missing,missing,missing,missing,,missing,missing,,missing,missing
DISREGARD,153,10,39,6,missing,,V,missing,missing,missing,missing,1,0.04,missing,missing,missing,missing,,missing,missing,,missing,missing
DISSIMILAR,152,12,32,3,missing,,AJ,missing,missing,missing,missing,3,0.07,missing,missing,missing,missing,,missing,missing,,missing,missing
DISSOLVE,147,19,46,6,missing,G,V,missing,missing,missing,missing,5,0.03,missing,missing,missing,missing,,missing,missing,,missing,missing
DISTANCE,147,13,31,108,3.25,,N,1.85,2.500,0.31,1.190,11,0.01,missing,missing,missing,missing,,missing,missing,,missing,missing
DISTANT,152,9,32,37,3.13,,AJ,1.56,3.330,0.22,1.060,5,0.01,missing,missing,missing,missing,,missing,missing,,missing,missing
DISTINCT,142,23,66,42,2.43,,AJ,1.55,3.190,0.05,1.010,1,0.09,missing,missing,missing,missing,,missing,missing,,missing,missing
DISTURB,152,17,41,10,missing,,V,missing,missing,missing,missing,5,0.00,missing,missing,missing,missing,,missing,missing,,missing,missing
DITCH,98,14,25,10,5.28,,N,1.54,3.880,0.31,1.290,6,0.02,13,0.06,15,0.05,,missing,missing,DI---,16,0.02
DIVE,143,14,34,23,4.65,N,V,1.92,2.940,0.17,1.630,12,0.00,15,0.08,missing,missing,,missing,missing,DI--,13,0.14
DIVER,150,11,31,1,missing,,N,2.80,4.120,0.20,1.230,3,0.05,missing,missing,missing,missing,--VER,14,0.02,DI---,20,0.11
DIVIDE,146,15,33,14,3.36,,V,1.69,3.060,0.31,1.870,9,0.03,missing,missing,15,0.02,,missing,missing,,missing,missing
DIVING,150,13,36,5,5.43,,V,missing,missing,missing,missing,4,0.01,missing,missing,missing,missing,,missing,missing,,missing,missing
DIVISION,148,17,40,107,3.30,,N,missing,missing,missing,missing,6,0.02,missing,missing,missing,missing,,missing,missing,,missing,missing
DIVORCE,148,11,29,29,4.23,,N,0.56,1.160,0.44,1.280,12,0.01,7,0.00,15,0.00,,missing,missing,,missing,missing
DIZZY,184,17,43,5,3.60,,AJ,0.93,1.700,0.20,1.200,7,0.12,6,0.07,missing,missing,-IZZY,3,0.84,DI---,16,0.04
DO,180,20,44,1363,2.72,,V,missing,missing,missing,missing,48,0.06,32,0.05,missing,missing,,missing,missing,,missing,missing
DOCK,145,10,22,8,5.77,,N,2.44,3.690,0.22,1.160,6,0.01,15,0.02,7,0.00,,missing,missing,,missing,missing
DOCTOR,198,19,34,100,5.75,G,N,2.24,4.730,0.71,3.860,61,0.04,missing,missing,missing,missing,,missing,missing,,missing,missing
DOCUMENT,147,17,43,13,missing,,N,1.67,2.100,0.33,1.170,9,0.03,missing,missing,missing,missing,,missing,missing,,missing,missing
DOE,146,8,19,1,5.75,,N,missing,missing,missing,missing,8,0.05,35,0.01,missing,missing,,missing,missing,D--,18,0.06
DOG,156,5,20,75,5.75,,N,0.40,1.000,0.80,2.560,144,0.06,13,0.16,7,0.44,-OG,6,0.29,D--,18,0.19
DOLL,156,13,25,10,5.36,,N,1.18,2.190,0.36,1.380,7,0.00,missing,missing,7,0.36,,missing,missing,,missing,missing
DOLLAR,148,9,20,46,5.68,,N,1.38,1.940,0.63,1.270,16,0.03,2,0.23,7,0.03,----AR,10,0.02,,missing,missing
DOLLARS,150,8,15,97,5.68,,N,missing,missing,missing,missing,7,0.01,missing,missing,missing,missing,,missing,missing,,missing,missing
DOLPHIN,139,18,40,1,missing,,N,2.00,4.120,0.38,2.460,10,0.00,18,0.00,7,0.01,,missing,missing,,missing,missing
DOMAIN,144,15,47,9,3.10,,N,1.14,2.370,0.14,1.050,2,0.08,missing,missing,missing,missing,,missing,missing,,missing,missing
DOMINANT,148,20,59,65,missing,,N,missing,missing,missing,missing,0,0.01,missing,missing,missing,missing,,missing,missing,,missing,missing
DOMINATE,144,24,69,8,2.56,,V,2.33,5.230,0.10,1.080,3,0.03,missing,missing,missing,missing,,missing,missing,,missing,missing
DONATION,152,11,27,2,missing,,N,1.40,2.350,0.10,1.010,3,0.01,missing,missing,missing,missing,,missing,missing,,missing,missing
DONE,148,9,20,320,2.65,,AJ,0.86,1.790,0.57,1.300,23,0.03,16,0.05,missing,missing,-ONE,9,0.09,,missing,missing
DONKEY,148,10,23,1,6.67,,N,0.67,1.680,0.44,1.320,8,0.03,missing,missing,missing,missing,,missing,missing,,missing,missing
DONOR,143,10,21,5,4.00,,N,1.12,1.730,0.25,1.260,2,0.01,missing,missing,missing,missing,---OR,11,0.01,,missing,missing
DOOR,180,23,36,312,5.95,,N,1.27,4.210,0.68,3.840,61,0.01,28,0.03,missing,missing,,missing,missing,,missing,missing
DOORBELL,152,10,23,2,missing,,N,0.67,1.510,0.11,1.070,3,0.01,missing,missing,missing,missing,,missing,missing,,missing,missing
DOORWAY,144,19,37,15,6.03,,N,2.47,6.030,0.24,1.140,4,0.01,missing,missing,missing,missing,,missing,missing,,missing,missing
DOPE,153,15,34,2,missing,,N,2.00,5.030,0.23,1.050,5,0.01,11,0.15,missing,missing,_ OPE,6,0.24,,missing,missing
DORM,165,16,34,2,5.68,,N,1.60,3.580,0.13,1.090,8,0.06,6,0.14,missing,missing,--RM,11,0.10,,missing,missing
DOT,148,16,32,13,5.45,,N,missing,missing,missing,missing,9,0.01,8,0.01,7,0.00,-OT,9,0.15,D--,18,0.03
DOUBLE,148,16,34,1,3.96,,AJ,missing,missing,missing,missing,12,0.00,missing,missing,missing,missing,,missing,missing,,missing,missing
DOUBT,146,18,55,114,missing,,V,missing,missing,missing,missing,10,0.04,19,0.03,6,0.28,,missing,missing,,missing,missing
DOUGH,184,13,21,13,6.22,N,N,1.50,2.220,0.50,1.180,8,0.06,35,0.00,missing,missing,-OUGH,4,0.13,DO---,8,0.02
DOUGHNUT,130,15,29,0,5.93,,N,1.40,3.550,0.13,1.090,9,0.01,15,0.00,missing,missing,,missing,missing,,missing,missing
DOVE,140,11,24,4,6.90,W,N,0.55,2.180,0.36,1.130,11,0.02,6,0.35,missing,missing,-OVE,4,0.20,,missing,missing
DOWN,148,10,28,895,3.23,W,AD,0.60,1.520,0.80,2.260,80,0.01,9,0.09,6,0.22,,missing,missing,,missing,missing
DOWNSTAIRS,149,13,31,12,missing,,AJ,1.08,1.530,0.15,1.680,2,0.00,missing,missing,missing,missing,,missing,missing,,missing,missing
DOWNSTREAM,151,13,29,5,missing,,N,2.31,4.580,0.08,1.240,1,0.00,missing,missing,missing,missing,,missing,missing,,missing,missing
DOWNTOWN,148,24,46,41,missing,,N,missing,missing,missing,missing,3,0.00,missing,missing,missing,missing,,missing,missing,,missing,missing
DOZE,148,6,20,0,missing,,V,2.00,3.330,0.20,1.020,1,0.02,22,0.10,missing,missing,,missing,missing,,missing,missing
DOZEN,153,4,12,52,missing,,N,missing,missing,missing,missing,5,0.00,missing,missing,missing,missing,,missing,missing,DO---,13,0.01
DRACULA,147,15,24,0,missing,,N,2.07,3.200,0.36,1.300,9,0.01,missing,missing,missing,missing,,missing,missing,,missing,missing
DRAFT,148,14,28,24,missing,P,N,0.64,1.340,0.00,1.000,3,0.01,10,0.09,5,0.44,--AFT,4,0.40,,missing,missing
DRAG,148,12,42,15,missing,N,V,0.58,1.690,0.08,1.020,2,0.02,18,0.03,5,0.26,,missing,missing,,missing,missing
DRAGON,142,23,43,1,5.49,,N,0.76,1.470,0.14,1.280,10,0.01,2,0.13,5,0.03,--AGON,1,0.73,DRA---,4,0.45
DRAIN,145,19,42,18,missing,G,V,1.94,4.270,0.33,1.470,10,0.01,38,0.01,5,0.16,--AIN,10,0.02,DR---,17,0.11
DRAMA,145,11,37,43,3.66,,N,1.80,1.860,0.40,1.170,10,0.04,missing,missing,missing,missing,,missing,missing,DR---,15,0.00
DRAPES,140,10,22,1,missing,,N,1.38,1.830,0.25,1.230,3,0.02,missing,missing,5,0.10,,missing,missing,DRA---,4,0.10
DRAW,167,15,35,56,4.32,N,V,1.53,2.710,0.47,2.080,21,0.03,14,0.00,4,0.72,--AW,8,0.05,,missing,missing
DRAWER,128,9,29,8,6.31,,N,1.78,1.960,0.56,1.580,9,0.05,missing,missing,missing,missing,,missing,missing,DRA---,4,0.02
DRAWING,143,15,31,40,5.57,,N,2.54,3.650,0.39,1.260,14,0.02,missing,missing,4,0.04,,missing,missing,,missing,missing
DREAM,146,10,40,64,3.03,,N,0.33,0.860,0.56,2.270,29,0.06,17,0.02,2,0.91,,missing,missing,DR---,15,0.06
DRENCH,147,5,9,0,4.08,,V,2.20,2.200,0.20,1.100,2,0.02,6,0.00,missing,missing,--ENCH,7,0.05,,missing,missing
DRESS,127,15,43,67,5.91,N,N,2.67,4.820,0.47,1.450,55,0.02,20,0.06,missing,missing,,missing,missing,DR---,17,0.01
DRESSER,149,14,26,1,5.56,,N,2.08,3.250,0.15,1.450,3,0.02,missing,missing,missing,missing,,missing,missing,,missing,missing
DRESSING,152,14,34,22,missing,,N,missing,missing,missing,missing,6,0.03,missing,missing,missing,missing,,missing,missing,,missing,missing
DRIFT,148,20,49,18,missing,,V,1.53,4.330,0.05,1.020,2,0.03,8,0.06,3,0.26,,missing,missing,,missing,missing
DRILL,145,19,44,33,5.12,N,N,1.05,2.750,0.16,1.160,5,0.01,15,0.00,3,0.00,,missing,missing,DR---,17,0.02
DRINK,184,20,43,82,4.95,G,V,2.58,5.580,0.90,3.030,101,0.06,18,0.01,3,0.01,--INK,5,0.11,DR---,17,0.15
DRIP,144,10,23,1,4.98,N,V,1.80,3.790,0.10,1.050,5,0.04,20,0.00,3,0.69,--IP,12,0.03,,missing,missing
DRIVE,148,14,33,105,4.35,T,V,1.69,4.480,0.23,1.330,40,0.00,15,0.01,missing,missing,,missing,missing,DR---,17,0.26
DRIVER,140,16,33,79,missing,G,N,1.88,4.650,0.44,1.930,20,0.01,missing,missing,missing,missing,----ER,37,0.02,,missing,missing
DRIVEWAY,146,14,32,14,missing,,N,2.75,3.960,0.42,1.250,6,0.01,26,0.00,missing,missing,,missing,missing,,missing,missing
DROP,137,16,42,59,3.16,T,N,0.75,1.170,0.50,1.300,30,0.02,15,0.01,missing,missing,,missing,missing,,missing,missing
DROVE,148,11,45,62,missing,T,N,1.50,1.870,0.00,1.000,0,0.04,7,0.03,3,0.72,,missing,missing,DR---,17,0.01
DROWN,152,14,32,3,missing,,V,2.15,3.860,0.31,1.130,9,0.08,9,0.01,3,0.42,,missing,missing,DR---,17,0.09
DROWSY,147,6,25,1,missing,,AD,1.33,2.290,0.17,1.010,3,0.01,missing,missing,3,0.30,,missing,missing,,missing,missing
DRUG,145,20,56,24,5.54,G,N,1.80,3.090,0.65,3.330,46,0.03,16,0.01,5,0.23,--UG,7,0.18,DRU-,2,0.51
DRUGS,144,28,60,28,missing,,N,1.76,2.450,0.20,2.570,34,0.00,missing,missing,5,0.00,-UGS,5,0.18,,missing,missing
DRUM,156,16,33,11,5.81,N,N,missing,missing,missing,missing,15,0.04,18,0.01,5,0.03,--UM,6,0.33,DR--,2,0.43
DRUNK,143,19,50,37,4.65,G,AJ,2.56,4.610,0.72,3.500,46,0.05,18,0.01,5,0.24,,missing,missing,DR---,17,0.02
DRY,184,18,45,68,3.36,W,AJ,0.83,3.320,0.39,2.070,40,0.01,25,0.00,missing,missing,-RY,7,0.18,DR-,1,0.96
DRYER,152,9,14,4,6.35,,N,1.56,2.050,0.22,1.760,8,0.01,missing,missing,missing,missing,--YER,9,0.02,DR---,17,0.05
DUCK,148,16,26,9,5.68,N,N,1.69,2.270,0.39,2.350,18,0.03,12,0.15,13,0.27,-UCK,7,0.46,,missing,missing
DUCKS,150,19,32,4,5.68,,N,missing,missing,missing,missing,1,0.00,missing,missing,missing,missing,,missing,missing,,missing,missing
DUE,150,25,48,142,missing,G,AJ,1.80,4.580,0.20,1.120,7,0.05,32,0.01,missing,missing,-UE,4,0.07,D--,18,0.01
DULL,144,11,34,27,3.08,,AJ,1.20,1.760,0.80,1.690,20,0.01,9,0.26,13,0.05,,missing,missing,,missing,missing
DUMB,152,4,25,13,3.36,,AJ,0.50,1.080,0.75,2.110,53,0.03,18,0.07,13,0.05,,missing,missing,,missing,missing
DUMP,147,9,38,4,3.36,N,V,1.50,2.350,0.50,1.070,8,0.04,15,0.04,13,0.01,-UMP,7,0.11,,missing,missing
DUNE,148,6,20,1,5.52,,N,0.50,2.130,0.33,1.070,2,0.07,missing,missing,missing,missing,,missing,missing,,missing,missing
DUNGEON,126,16,26,2,5.58,,N,1.40,3.470,0.20,1.130,4,0.05,missing,missing,missing,missing,,missing,missing,,missing,missing
DUNK,147,16,35,1,missing,,V,missing,missing,missing,missing,1,0.03,18,0.05,missing,missing,-UNK,8,0.12,,missing,missing
DUPLICATE,150,7,28,6,missing,,V,1.50,1.420,0.17,1.070,3,0.01,missing,missing,missing,missing,,missing,missing,,missing,missing
DUSK,169,9,15,9,4.97,,N,1.75,2.490,0.38,1.650,3,0.02,5,0.14,13,0.01,-USK,4,0.36,,missing,missing
DUST,148,16,36,70,6.67,,N,1.00,1.940,0.36,1.140,21,0.05,14,0.00,13,0.04,-UST,7,0.16,,missing,missing
DUSTPAN,148,6,17,0,missing,,N,2.67,3.150,0.17,1.020,1,0.02,missing,missing,missing,missing,,missing,missing,,missing,missing
DUTY,147,15,35,61,2.32,,N,1.92,3.720,0.46,1.290,13,0.06,6,0.05,missing,missing,,missing,missing,,missing,missing
DWARF,150,9,27,3,missing,,N,missing,missing,missing,missing,6,0.01,missing,missing,missing,missing,,missing,missing,,missing,missing
DWARVES,148,9,31,2,missing,,N,missing,missing,missing,missing,2,0.07,missing,missing,missing,missing,,missing,missing,,missing,missing
DYNAMITE,151,16,34,5,5.86,,N,missing,missing,missing,missing,3,0.03,missing,missing,missing,missing,,missing,missing,,missing,missing
DYNASTY,152,20,43,5,4.02,,N,1.61,3.440,0.06,1.030,1,0.01,missing,missing,missing,missing,,missing,missing,,missing,missing
EAGER,148,19,50,27,2.98,,AJ,1.00,1.960,0.19,1.100,6,0.03,missing,missing,missing,missing,--GER,7,0.05,EA---,12,0.05
EAGLE,148,11,27,5,5.63,,N,1.09,2.670,0.27,1.170,8,0.03,6,0.07,missing,missing,,missing,missing,EA---,12,0.14
EAR,142,14,27,29,6.26,N,N,0.85,2.390,0.69,2.500,22,0.01,22,0.01,missing,missing,-AR,8,0.03,E--,10,0.17
EARLY,148,8,17,366,2.54,,AJ,0.43,1.150,0.43,1.680,9,0.01,missing,missing,missing,missing,--RLY,4,0.42,EA---,12,0.05
EARN,130,10,24,16,3.45,,V,0.89,2.630,0.22,1.020,11,0.01,11,0.00,missing,missing,--RN,9,0.01,E---,15,0.03
EARNESTNESS,197,20,72,3,2.63,,N,missing,missing,missing,missing,0,0.11,missing,missing,missing,missing,,missing,missing,,missing,missing
EARRING,143,11,22,3,5.82,,N,2.40,3.940,0.60,1.220,8,0.02,missing,missing,missing,missing,,missing,missing,,missing,missing
EARS,138,15,30,38,missing,,N,missing,missing,missing,missing,4,0.00,missing,missing,missing,missing,,missing,missing,EA--,5,0.09
EARTH,161,12,38,150,5.77,,N,1.92,3.670,0.50,2.130,41,0.01,8,0.06,missing,missing,,missing,missing,EA---,12,0.03
EARTHQUAKE,145,18,42,9,6.32,,N,missing,missing,missing,missing,12,0.01,missing,missing,missing,missing,,missing,missing,,missing,missing
EASE,196,20,57,42,2.25,,N,1.80,5.320,0.10,1.050,9,0.05,21,0.01,missing,missing,-ASE,4,0.10,EA--,5,0.02
EAST,184,4,12,183,3.59,,AJ,0.50,1.040,0.50,1.810,6,0.02,8,0.01,missing,missing,-AST,6,0.02,EA--,5,0.12
EASTER,146,11,21,11,4.14,,N,1.09,2.660,0.27,1.140,3,0.01,missing,missing,missing,missing,,missing,missing,,missing,missing
EASY,146,8,31,125,2.81,G,V,0.38,1.640,0.63,1.740,50,0.03,missing,missing,missing,missing,,missing,missing,EA--,5,0.10
EAT,176,11,45,61,4.75,,N,1.20,2.210,0.70,1.970,126,0.04,17,0.00,missing,missing,-AT,7,0.04,E--,10,0.31
EATING,152,13,38,32,4.81,,N,missing,missing,missing,missing,3,0.00,missing,missing,missing,missing,---ING,29,0.01,,missing,missing
ECONOMIC,147,21,41,243,missing,,AJ,1.59,3.570,0.00,1.000,1,0.01,missing,missing,missing,missing,,missing,missing,,missing,missing
ECONOMY,148,17,50,79,missing,,N,missing,missing,missing,missing,3,0.01,missing,missing,missing,missing,,missing,missing,,missing,missing
ECSTASY,148,20,43,6,missing,,N,missing,missing,missing,missing,2,0.03,missing,missing,missing,missing,,missing,missing,,missing,missing
EDGE,148,17,39,78,4.28,G,N,1.81,4.080,0.38,1.460,14,0.07,9,0.04,missing,missing,,missing,missing,E---,15,0.02
EDITOR,151,11,35,77,missing,,N,2.44,3.780,0.33,1.060,4,0.02,missing,missing,missing,missing,,missing,missing,,missing,missing
EDITORIAL,154,15,32,42,missing,,N,2.50,3.810,0.07,1.010,1,0.01,missing,missing,missing,missing,,missing,missing,,missing,missing
EDUCATE,151,7,24,7,missing,,V,3.14,3.230,0.14,1.040,2,0.00,missing,missing,missing,missing,,missing,missing,,missing,missing
EDUCATION,146,13,44,214,2.98,,N,3.75,4.880,0.58,1.280,15,0.00,missing,missing,missing,missing,,missing,missing,,missing,missing
EFFECT,149,13,37,213,2.22,,N,1.50,1.700,0.33,1.630,5,0.09,missing,missing,missing,missing,,missing,missing,,missing,missing
EFFORT,143,18,44,145,2.22,,N,1.47,1.970,0.12,1.070,10,0.07,missing,missing,missing,missing,,missing,missing,,missing,missing
EGG,165,20,44,12,5.79,G,N,1.00,2.030,0.24,2.110,26,0.01,7,0.03,missing,missing,,missing,missing,E--,10,0.02
EGGS,148,21,32,35,5.79,,N,1.71,4.010,0.29,3.330,24,0.02,7,0.03,missing,missing,--GS,20,0.34,E---,15,0.02
EGO,152,27,51,13,1.93,,N,missing,missing,missing,missing,13,0.07,missing,missing,missing,missing,,missing,missing,,missing,missing
EGYPT,132,16,29,14,missing,,N,missing,missing,missing,missing,6,0.01,missing,missing,missing,missing,,missing,missing,,missing,missing
EIGHT,145,8,29,104,3.74,,N,missing,missing,missing,missing,8,0.01,25,0.00,missing,missing,,missing,missing,,missing,missing
EINSTEIN,154,14,32,3,missing,,N,missing,missing,missing,missing,4,0.01,missing,missing,missing,missing,,missing,missing,,missing,missing
ELABORATE,152,25,65,32,missing,G,AJ,missing,missing,missing,missing,3,0.03,missing,missing,missing,missing,,missing,missing,,missing,missing
ELBOW,145,10,22,10,6.94,,N,1.89,1.680,0.33,1.150,6,0.02,missing,missing,missing,missing,,missing,missing,,missing,missing
ELDERLY,148,9,27,13,missing,,AJ,missing,missing,missing,missing,4,0.01,missing,missing,missing,missing,,missing,missing,,missing,missing
ELDERS,142,12,32,9,5.65,,N,missing,missing,missing,missing,3,0.01,missing,missing,missing,missing,,missing,missing,,missing,missing
ELECT,178,15,35,8,2.62,,V,1.83,3.370,0.17,1.200,4,0.05,missing,missing,missing,missing,,missing,missing,,missing,missing
ELECTION,140,12,34,77,4.05,,N,1.92,2.330,0.33,1.480,5,0.01,21,0.10,missing,missing,---CTION,7,0.02,E-ECT--N,4,0.81
ELECTRIC,146,23,49,68,missing,G,AJ,1.95,4.580,0.27,1.420,16,0.01,21,0.00,missing,missing,,missing,missing,,missing,missing
ELECTRICIAN,152,22,56,0,missing,,N,2.16,4.010,0.05,1.090,1,0.05,missing,missing,missing,missing,,missing,missing,,missing,missing
ELECTRICITY,147,15,34,26,4.51,,N,1.54,1.950,0.54,1.660,18,0.04,missing,missing,missing,missing,,missing,missing,,missing,missing
ELECTRON,147,15,30,30,missing,,N,2.69,5.580,0.31,1.390,5,0.02,missing,missing,missing,missing,,missing,missing,E-ECT--N,4,0.01
ELEGANT,143,22,59,14,3.02,,AJ,missing,missing,missing,missing,9,0.06,missing,missing,missing,missing,,missing,missing,,missing,missing
ELEMENT,147,22,47,52,missing,G,N,1.95,3.010,0.43,1.150,13,0.03,14,0.00,missing,missing,,missing,missing,,missing,missing
ELEMENTS,147,17,58,107,missing,,N,missing,missing,missing,missing,2,0.01,missing,missing,missing,missing,,missing,missing,,missing,missing
ELEPHANT,146,19,38,7,7.00,,N,1.05,2.850,0.37,1.940,19,0.03,missing,missing,missing,missing,,missing,missing,,missing,missing
ELEVATOR,148,14,27,12,6.23,,N,0.79,3.030,0.36,1.430,8,0.00,missing,missing,missing,missing,,missing,missing,,missing,missing
ELF,152,22,36,0,missing,,N,missing,missing,missing,missing,4,0.01,missing,missing,missing,missing,,missing,missing,E--,10,0.02
ELIMINATION,152,24,65,9,missing,,N,missing,missing,missing,missing,1,0.03,missing,missing,missing,missing,,missing,missing,,missing,missing
ELK,156,9,22,1,5.75,,N,2.00,3.350,0.11,1.040,2,0.05,missing,missing,missing,missing,,missing,missing,E--,10,0.02
ELM,144,4,13,3,5.07,,N,1.25,1.950,0.25,1.010,1,0.01,missing,missing,missing,missing,,missing,missing,,missing,missing
EMBARRASS,132,10,36,8,missing,,V,1.10,2.750,0.30,1.990,11,0.02,missing,missing,missing,missing,,missing,missing,,missing,missing
EMBRACE,146,4,21,13,missing,,V,2.00,2.060,0.25,1.060,1,0.00,missing,missing,missing,missing,,missing,missing,,missing,missing
EMERALD,148,8,25,3,6.09,,N,2.50,3.770,0.38,1.060,4,0.03,missing,missing,missing,missing,,missing,missing,,missing,missing
EMERGENCY,143,23,51,29,3.25,,N,2.00,4.480,0.19,1.310,8,0.01,missing,missing,missing,missing,,missing,missing,,missing,missing
EMOTION,143,11,39,34,2.40,,N,2.27,4.580,0.18,1.310,16,0.06,10,0.01,missing,missing,,missing,missing,,missing,missing
EMOTIONAL,153,16,44,68,missing,,AJ,2.29,5.020,0.07,1.060,3,0.00,missing,missing,missing,missing,,missing,missing,,missing,missing
EMPATHY,154,10,39,1,1.90,,N,2.20,2.620,0.20,1.150,4,0.12,missing,missing,missing,missing,,missing,missing,,missing,missing
EMPEROR,152,15,41,19,missing,,N,1.55,3.710,0.00,1.000,2,0.01,missing,missing,missing,missing,,missing,missing,,missing,missing
EMPIRE,152,25,52,22,missing,,N,missing,missing,missing,missing,6,0.03,missing,missing,missing,missing,,missing,missing,,missing,missing
EMPLOYEE,138,9,26,24,5.78,,N,3.22,3.490,0.56,1.560,9,0.01,33,0.00,missing,missing,,missing,missing,,missing,missing
EMPLOYER,142,7,20,15,6.04,,N,3.00,3.300,0.43,1.330,6,0.01,missing,missing,missing,missing,,missing,missing,,missing,missing
EMPLOYMENT,142,6,19,47,3.75,,N,2.50,2.460,0.50,1.050,5,0.01,missing,missing,missing,missing,,missing,missing,,missing,missing
EMPTY,149,11,33,64,3.65,,AJ,0.27,1.010,0.36,1.810,36,0.01,missing,missing,missing,missing,,missing,missing,,missing,missing
ENCYCLOPEDIA,148,14,28,1,missing,,N,2.77,4.920,0.08,1.030,5,0.01,missing,missing,missing,missing,,missing,missing,,missing,missing
END,119,8,20,410,3.16,G,N,1.43,2.350,0.57,1.840,77,0.02,17,0.01,missing,missing,,missing,missing,E--,10,0.03
ENDING,144,11,28,31,2.90,,N,2.18,5.710,0.00,1.000,4,0.02,25,0.00,missing,missing,,missing,missing,,missing,missing
ENDLESS,149,20,52,20,missing,,AJ,missing,missing,missing,missing,4,0.01,missing,missing,missing,missing,,missing,missing,,missing,missing
ENEMY,198,17,29,88,4.88,,N,1.67,2.350,0.33,2.110,22,0.03,missing,missing,missing,missing,-N-MY,1,0.49,E-E-Y,4,0.15
ENERGETIC,152,23,68,11,missing,,AJ,missing,missing,missing,missing,7,0.01,missing,missing,missing,missing,,missing,missing,,missing,missing
ENERGY,148,22,66,100,3.44,,N,1.39,2.890,0.56,1.220,29,0.03,missing,missing,missing,missing,,missing,missing,,missing,missing
